ID,Lat,Long,Traffic,Loc,BoardSize,Img,Facing,Pricing,Illuminated,Description
1N,41.657905,-87.661277,0,"""Blue Island, I-57 South of 127th Street""",20x60,1_BlueIsland_ North.jpeg,North,"""$3500/4 Weeks""",Dusk-Dawn,"""An excellent view located on this highly traveled North/South link from the South suburbs to Chicago, seen daily by downtown commuters. It also serves Blue Island, Calumet Park, Midlothian, Palos Heights, Alsip, and Crestwood."""
1S,41.657905,-87.661277,0,"""Blue Island, I-57 South of 127th Street""",20x60,1_BlueIsland_South.jpeg,South,"""$3500/4 Weeks""",Dusk-Dawn,"""An excellent view located on this highly traveled North/South link from the South suburbs to Chicago, seen daily by downtown commuters. It also serves Blue Island, Calumet Park, Midlothian, Palos Heights, Alsip, and Crestwood."""
2N,41.535277,-87.581111,0,"""Lynwood, I-394 .5 Mile North of Glenwood-Dyer Road""",14x48,2_I394South_North.jpeg,North,"""$2200/4 Weeks""",Dusk-Dawn,"""A new view is located on this highly traveled North/South link to I-80/94. It is seen by travelers heading to and from Chicago. It also serves the localities of Lynwood, Lansing, Glenwood, Crete, Chicago Heights, and Beecher.""



"
2S,41.535277,-87.581111,0,"""Lynwood, I-394 .5 Mile North of Glenwood-Dyer Road""",14x48,2_I394South_South.jpeg,South,"""$2200/4 Weeks""",Dusk-Dawn,"""A new view is located on this highly traveled North/South link to I-80/94. It is seen by travelers heading to and from Chicago. It also serves the localities of Lynwood, Lansing, Glenwood, Crete, Chicago Heights, and Beecher."""
3N,41.537222,-87.581666,0,"""Lynwood, I-394 .25 Mile North of Glenwood-Dyer Road""",14x48,3_I394North_North.jpeg,North,"""$2200/4 Weeks""",Dusk-Dawn,"""A new, unobstructed view is located on this highly traveled North/South link to I-80/94. It is seen by travelers heading to and from Chicago. And it also serves the localities of Lynwood, Lansing, Glenwood, Crete, Chicago Heights, and Beecher.""



"
3S,41.537222,-87.581666,0,"""Lynwood, I-394 .25 Mile North of Glenwood-Dyer Road""",14x48,3_I394North_South.jpeg,South,"""$2200/4 Weeks""",Dusk-Dawn,"""A new, unobstructed view is located on this highly traveled North/South link to I-80/94. It is seen by travelers heading to and from Chicago. And it also serves the localities of Lynwood, Lansing, Glenwood, Crete, Chicago Heights, and Beecher.""



"
4E,41.586508,-87.714727,0,"""Markham, 167th & Pulaski""",14x48,4_Markham_East.jpeg,East,"""$2800/4 Weeks""",Dusk-Dawn,"""This board is on the border of Markham & Country Club Hills. And its viewed by drivers heading to Tinley Park, and Midlothian. It is situated across the street from the Country Club shopping Plaza, AMC Theater, and Walmart bustling with local consumers."""
4W,41.586508,-87.714727,0,"""Markham, 167th & Pulaski""",14x48,4_Markham_West.jpeg,West,"""$2800/4 Weeks""",Dusk-Dawn,"""This board is on the border of Markham & Country Club Hills. And its viewed by drivers heading to Tinley Park, and Midlothian. It is situated across the street from the Country Club shopping Plaza, AMC Theater, and Walmart bustling with local consumers."""
5E,41.600805,-87.551435,0,"""Calumet City, Route 6 Between Torrence & Burnham""",14x48,5_Calumet_East.jpeg,East,"""$1200/4 Weeks""",Dusk-Dawn,"""An excellent view located on this highly traveled East/West commercial hub. It also serves the localities of South Holland to the West and Hammond to the East. It's a thoroughfare in and out of Indiana."""
5W,41.600805,-87.551435,0,"""Calumet City, Route 6 Between Torrence & Burnham""",14x48,5_Calumet_West.jpeg,West,"""$1200/4 Weeks""",Dusk-Dawn,"""An excellent view located on this highly traveled East/West commercial hub. It also serves the localities of South Holland to the West and Hammond to the East. It's a thoroughfare in and out of Indiana."""
6N,41.604164,-87.582347,0,"""South Holland, I-94 .3 Mile North of 159th Street""",20x60,6_SouthHollandSouth_North.jpeg,North,"""$3500/4 Weeks""",Dusk-Dawn,"""These 2 billboards are on a main thoroughfare to Chicago & Northern Indiana. They have excellent views from I-94 congested with slow traffic coming in & off the 159th ramps. They serve Chicago & Indiana computers as well as the local consumers of South Holland and Calumet City."""
6S,41.604164,-87.582347,0,"""South Holland, I-94 .3 Mile North of 159th Street""",20x60,6_SouthHollandSouth_South.jpeg,South,"""$3500/4 Weeks""",Dusk-Dawn,"""These 2 billboards are on a main thoroughfare to Chicago & Northern Indiana. They have excellent views from I-94 congested with slow traffic coming in & off the 159th ramps. They serve Chicago & Indiana computers as well as the local consumers of South Holland and Calumet City."""
7N,41.605818,-87.58169,0,"""South Holland, I-94 .2 Mile North of 159th Street""",20x60,6_SouthHollandSouth_North.jpeg,North,"""$3500/4 Weeks""",Dusk-Dawn,"""These 2 billboards are on a main thoroughfare to Chicago & Northern Indiana. They have excellent views from I-94 congested with slow traffic coming in & off the 159th ramps. They serve Chicago & Indiana computers as well as the local consumers of South Holland and Calumet City."""
7W,41.605818,-87.58169,0,"""South Holland, I-94 .2 Mile North of 159th Street""",20x60,6_SouthHollandSouth_South.jpeg,South,"""$3500/4 Weeks""",Dusk-Dawn,"""These 2 billboards are on a main thoroughfare to Chicago & Northern Indiana. They have excellent views from I-94 congested with slow traffic coming in & off the 159th ramps. They serve Chicago & Indiana computers as well as the local consumers of South Holland and Calumet City."""
